"APT","PEN","AMO","MER","TAX","CFT","CFX"
"0-0-0","0.03","0.03","0.06","0.06","0.5","0.5"
"0-0-11","0.06","0.06","0.06","0.06","0.5","0.5"
"0-0-116","0.06","0.06","0.06","0.06","0.5","0.5"
"0-0-119","0.03","0.03","0.06","0.06","0.5","0.5"
"0-0-124","0.03","0.03","0.06","0.06","0.5","0.5"
"0-0-132","0.03","0.03","0.06","0.06","0.5","0.5"
"0-0-17","0.03","0.03","0.06","0.06","0.5","0.5"
"0-0-2","0.03","0.03","0.06","0.06","0.5","0.5"
"0-0-23","0.03","0.03","0.06","0.06","0.5","0.5"
"0-0-28","0.06","0.03","0.06","0.12","0.5","0.5"
"0-0-3","0.03","0.03","0.06","0.06","0.5","0.5"
"0-0-53","0.03","0.03","0.06","0.06",NA,"0.5"
"0-0-61","0.03","0.03","0.06","0.25",NA,"1"
"0-0-71","0.03","0.03","0.06","0.06",NA,"0.5"
"0-0-74","0.03","0.03",NA,NA,NA,"0.5"
"0-0-79","0.12","0.12","0.06","0.06",NA,"0.5"
"0-0-83","0.03","0.03","0.06","0.06",NA,"0.5"
"0-0-88","0.03","0.03","0.06","0.06",NA,"0.5"
"0-0-95","0.03","0.03","0.06","0.06",NA,"0.5"
"0-1-1","0.25","0.06","0.06","0.06","0.5","0.5"
"0-1-48","0.25","0.25","0.06","0.12","0.5","0.5"
"0-10-0","0.03","0.03","0.06","0.06",NA,"0.5"
"0-10-14","0.06","0.03","0.06","0.12","0.5","0.5"
"0-10-2","0.03","0.03","0.06","0.06","0.5","0.5"
"0-2-0","0.03","0.03","0.06","0.06","0.5","0.5"
"0-20-11","0.12","0.06","0.06","0.06","0.5","0.5"
"0-24-29","0.06","0.12","0.06","0.06","0.5","0.5"
"0-26-2","0.03","0.03","0.06","0.06","0.5","0.5"
"0-29-11","0.12","0.12","0.06","0.06","0.5","0.5"
"0-39-80","0.25","0.25","0.12","0.25","0.5","0.5"
"0-4-0","0.03","0.03","0.06","0.06","0.5","0.5"
"0-4-11","0.06","0.03","0.06","0.06",NA,"0.5"
"0-4-2","0.03","0.03","0.06","0.06","0.5","0.5"
"0-40-2","0.03","0.03","0.06","0.06","0.5","0.5"
"0-45-53","0.03","0.03","0.06","0.06",NA,"0.5"
"0-55-53","0.03","0.03",NA,NA,NA,"0.5"
"0-6-10","0.03","0.03","0.06","0.06","0.5","0.5"
"0-6-2","0.03","0.03","0.06","0.06","0.5","0.5"
"0-80-17","0.03","0.03","0.06","0.06","0.5","0.5"
"1-0-0","0.03","0.03","0.06","0.06","0.5","0.5"
